split,class_id,class_name,role,semantic_elements,instance_count_nonnegative,files_with_class,share_of_split_files,tagged_geometry_elements,approx_svg_length_units
train,8,bay window,开口/门窗,3262,319,159,0.022828,3262,31811.855
train,9,blind window,开口/门窗,24954,920,527,0.075664,24954,60431.106
train,10,opening symbol,开口/门窗,6777,916,270,0.038765,6777,25028.094
train,11,sofa,可选 FF&E,28398,1132,360,0.051687,0,0.0
train,12,bed,可选 FF&E,423026,3121,592,0.084996,0,0.0
train,13,chair,可选 FF&E,141318,7493,644,0.092462,0,0.0
train,14,table,可选 FF&E,35114,4026,649,0.09318,0,0.0
train,15,TV cabinet,可选 FF&E,18940,1069,417,0.059871,0,0.0
train,16,Wardrobe,柜体/固定家具,130796,1587,432,0.062024,0,0.0
train,17,cabinet,柜体/固定家具,56750,5691,857,0.123044,0,0.0
train,18,gas stove,厨卫/设备点位,56590,1110,697,0.100072,0,0.0
train,19,sink,厨卫/设备点位,205072,6597,1922,0.275951,0,0.0
train,20,refrigerator,厨卫/设备点位,18757,1042,644,0.092462,0,0.0
train,21,airconditioner,厨卫/设备点位,19135,2066,786,0.11285,0,0.0
train,22,bath,厨卫/设备点位,51865,1668,690,0.099067,0,0.0
train,23,bath tub,厨卫/设备点位,27906,504,335,0.048098,0,0.0
train,24,washing machine,厨卫/设备点位,38231,979,578,0.082986,0,0.0
train,25,squat toilet,厨卫/设备点位,77320,2023,390,0.055994,0,0.0
train,26,urinal,厨卫/设备点位,59825,1177,369,0.052979,0,0.0
train,27,toilet,厨卫/设备点位,165367,3774,1399,0.200861,0,0.0
train,28,stairs,垂直交通,137225,4345,2717,0.390093,137225,1596327.763
train,29,elevator,垂直交通,59781,3206,1544,0.22168,59781,518008.32
train,30,escalator,垂直交通,15841,353,197,0.028284,15841,324677.986
train,31,row chairs,可选 FF&E,406491,0,179,0.0257,0,0.0
train,32,parking spot,车位,148711,0,637,0.091457,148711,992789.956
train,33,wall,墙体/围护,884796,0,6493,0.932233,884796,8836841.519
train,34,curtain wall,墙体/围护,74205,0,1168,0.167696,74205,559139.915
train,35,railing,墙体/围护,32663,0,1797,0.258004,32663,418361.647
val,1,single door,开口/门窗,13155,2334,432,0.533333,13155,88485.178
val,2,double door,开口/门窗,12438,1173,426,0.525926,12438,79411.984
val,3,sliding door,开口/门窗,5592,527,213,0.262963,5592,24334.476
val,4,folding door,开口/门窗,3,1,1,0.001235,3,14.0
val,7,window,开口/门窗,11583,1532,327,0.403704,11583,83476.885
val,8,bay window,开口/门窗,551,45,24,0.02963,551,4645.233
val,9,blind window,开口/门窗,3092,137,72,0.088889,3092,7867.795
val,10,opening symbol,开口/门窗,1013,156,38,0.046914,1013,3701.379
val,11,sofa,可选 FF&E,4753,144,46,0.05679,0,0.0
val,12,bed,可选 FF&E,67339,528,83,0.102469,0,0.0
val,13,chair,可选 FF&E,61221,667,77,0.095062,0,0.0
val,14,table,可选 FF&E,5707,288,77,0.095062,0,0.0
val,15,TV cabinet,可选 FF&E,2304,127,51,0.062963,0,0.0
val,16,Wardrobe,柜体/固定家具,17013,166,51,0.062963,0,0.0
val,17,cabinet,柜体/固定家具,6558,703,103,0.12716,0,0.0
val,18,gas stove,厨卫/设备点位,8080,140,89,0.109877,0,0.0
val,19,sink,厨卫/设备点位,24789,761,232,0.28642,0,0.0
val,20,refrigerator,厨卫/设备点位,2350,136,84,0.103704,0,0.0
val,21,airconditioner,厨卫/设备点位,2841,210,91,0.112346,0,0.0
val,22,bath,厨卫/设备点位,7895,258,91,0.112346,0,0.0
val,23,bath tub,厨卫/设备点位,1310,29,21,0.025926,0,0.0
val,24,washing machine,厨卫/设备点位,5609,141,72,0.088889,0,0.0
val,25,squat toilet,厨卫/设备点位,6110,242,47,0.058025,0,0.0
val,26,urinal,厨卫/设备点位,3547,125,37,0.045679,0,0.0
val,27,toilet,厨卫/设备点位,15615,425,154,0.190123,0,0.0
val,28,stairs,垂直交通,16274,562,318,0.392593,16274,198206.821
val,29,elevator,垂直交通,7404,365,177,0.218519,7404,62220.388
val,30,escalator,垂直交通,1306,35,22,0.02716,1306,28451.529
val,31,row chairs,可选 FF&E,37239,0,26,0.032099,0,0.0
val,32,parking spot,车位,23791,0,74,0.091358,23791,137756.563
val,33,wall,墙体/围护,102385,0,762,0.940741,102385,1070097.26
val,34,curtain wall,墙体/围护,6199,0,136,0.167901,6199,63895.876
val,35,railing,墙体/围护,2899,0,192,0.237037,2899,41978.137
